title,artist,year,genres,tags,feedback
Can’t Stop Me,Jadakiss,2009,hip-hop|east coast rap,anthemic|sampled-hook,star
The Setup,Obie Trice,2003,hip-hop,melodic-hook|nate-dogg,star
Sugar Hill,AZ,1995,hip-hop|east coast rap,smooth|soulful,star
Luchini AKA This Is It,Camp Lo,1997,hip-hop,jazzy|upbeat|sample-heavy,star
I Got Love,Nate Dogg,2001,hip-hop|r&b,west-coast|melodic,added
Po' Folks,Nappy Roots,2002,hip-hop|southern rap,soulful|storytelling,added
Music,Erick Sermon,2001,hip-hop,soul-sample|midtempo,added
The Light,Common,2000,hip-hop,soulful|warm,added
Renee,Lost Boyz,1995,hip-hop|east coast rap,storytelling|melodic,added
